Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
86173,0,-0.020816585733203552,0,0.9994802475126917,0,0.03077959314911954,1,7.895174973098888,1,0
86298,0,-0.08691941406547571,0,1.117728345194066,0,0.05552637112379887,1,3.913378083230849,1,0
86367,0,-0.12991063373847345,0,1.006463834630464,0,0.00903200839391352,0,1.6452317107301073,0,0
86370,0,-0.11046445723350845,0,1.105122207368456,0,0.01104456333020557,0,1.7259893074572803,0,0
86398,0,-0.1433977551425651,0,0.9937692971714013,0,0.057200457580467864,0,1.2881612984883053,0,0
86414,0,-0.12888920798502923,0,1.0376604073974303,0,0.06392675429466363,0,2.1967726720653897,0,0
86426,1,0.08879356265390048,1,1.8764819413543559,0,0.11919668738929493,1,6.479078016560396,3,1
86453,1,0.017631550550060604,0,1.008192675419635,0,0.07153272311185094,1,7.913114909319918,2,1
89594,0,-0.13483556560811827,0,1.049828281048232,0,0.03719965703662282,0,1.445975734636151,0,0
91581,0,-0.06390181306969228,0,1.2341632493708317,0,0.02317435840135951,0,2.8192263388866374,0,0
91699,0,-0.06447529453125134,0,1.3141304719844642,0,0.023598247562375815,1,6.428642645975052,1,0
91739,0,-0.036826107700220045,0,1.0077941993168453,0,0.023077879394081322,1,7.9019067863527095,1,0
91744,0,-0.09443816089270624,1,1.3952515948019586,0,0.013125444646805403,1,5.324968631020347,2,1
91745,0,-0.1338396908539476,0,1.0022704874905202,0,0.007516271052728685,0,1.824567971863125,0,0
91751,0,-0.10774846602677923,0,1.1343888869830645,0,0.030063094234835844,0,2.454268468837758,0,0
91753,0,-0.11980642953450549,0,1.0406186673939772,0,0.014118943466143341,0,1.5604138604174314,0,0
91754,0,-0.12883138561868707,0,1.049423574364219,0,0.03906012809845189,0,2.15234744040345,0,0
91757,0,-0.036504640875552274,0,1.0596049254913276,0,0.03159182278333761,0,3.4427382764101977,0,0
91762,0,-0.10683379425692752,0,1.0993284364888436,0,0.032597551130863836,0,2.0016017611655395,0,0
91773,0,-0.08364821399424077,0,1.0838038800580816,0,0.017657352228905902,1,4.236502641855971,1,0
91774,0,-0.07899801236063647,0,1.3198570212950087,0,0.004033532833775583,0,2.9766284542930213,0,0
93516,0,-0.02930442207345707,0,1.0010411787703757,0,0.0484047151874015,1,7.9139954423465095,1,0
104926,0,-0.14195538402932012,0,1.0241804631527387,0,0.05336204683540166,0,1.6316798550672025,0,0
107646,0,-0.11143440454410009,0,1.1084859068770696,0,0.018363872152671077,1,3.526444538625652,1,0
107720,0,-0.07456711963607615,0,1.2755053320175667,1,0.18240467150603065,0,1.9017607713342635,1,0
107760,0,-0.1600068304456943,0,0.9753848872758235,0,0.05385942622036258,0,0.7074437291317338,0,0
114994,1,0.06351298564818386,0,1.2487274764849712,0,0.04209969907746567,1,7.9214299355098285,2,1
153909,0,-0.1376599616296455,0,1.02173987760954,0,0.021285904449019972,0,1.4209151417316048,0,0
158076,0,-0.09888719218111741,0,1.0755183408304476,0,0.09134010065041075,0,1.722170400790337,0,0
